"kode_prov","nama_prov","kode_kabkota","nama_kabkota","kode_kecamatan","nama_kecamatan"
"32","Provinsi Jawa Barat","3276","Kota Depok","3276.050","BEJI"
"32","Provinsi Jawa Barat","3276","Kota Depok","3276.041","TAPOS"
"32","Provinsi Jawa Barat","3276","Kota Depok","3276.040","CIMANGGIS"
"32","Provinsi Jawa Barat","3276","Kota Depok","3276.031","CILODONG"
"32","Provinsi Jawa Barat","3276","Kota Depok","3276.030","SUKMAJAYA"
"32","Provinsi Jawa Barat","3276","Kota Depok","3276.021","CIPAYUNG"
"32","Provinsi Jawa Barat","3276","Kota Depok","3276.020","PANCORAN MAS"
"32","Provinsi Jawa Barat","3276","Kota Depok","3276.011","BOJONGSARI"
"32","Provinsi Jawa Barat","3276","Kota Depok","3276.010","SAWANGAN"
"32","Provinsi Jawa Barat","3275","Kota Bekasi","3275.070","BEKASI UTARA"
"32","Provinsi Jawa Barat","3275","Kota Bekasi","3275.061","MEDAN SATRIA"
"32","Provinsi Jawa Barat","3275","Kota Bekasi","3275.060","BEKASI BARAT"
"32","Provinsi Jawa Barat","3275","Kota Bekasi","3275.050","BEKASI SELATAN"
"32","Provinsi Jawa Barat","3275","Kota Bekasi","3275.041","RAWALUMBU"
"32","Provinsi Jawa Barat","3275","Kota Bekasi","3275.040","BEKASI TIMUR"
"32","Provinsi Jawa Barat","3275","Kota Bekasi","3275.031","MUSTIKAJAYA"
"32","Provinsi Jawa Barat","3275","Kota Bekasi","3275.030","BANTARGEBANG"
"32","Provinsi Jawa Barat","3275","Kota Bekasi","3275.020","JATIASIH"
"32","Provinsi Jawa Barat","3275","Kota Bekasi","3275.012","PONDOKMELATI"
"32","Provinsi Jawa Barat","3275","Kota Bekasi","3275.011","JATISAMPURNA"
"32","Provinsi Jawa Barat","3275","Kota Bekasi","3275.010","PONDOKGEDE"
"32","Provinsi Jawa Barat","3274","Kota Cirebon","3274.050","KEJAKSAN"
"32","Provinsi Jawa Barat","3274","Kota Cirebon","3274.040","KESAMBI"
"32","Provinsi Jawa Barat","3274","Kota Cirebon","3274.030","PEKALIPAN"
"32","Provinsi Jawa Barat","3274","Kota Cirebon","3274.020","LEMAHWUNGKUK"
"32","Provinsi Jawa Barat","3274","Kota Cirebon","3274.010","HARJAMUKTI"
"32","Provinsi Jawa Barat","3272","Kota Sukabumi","3272.050","CIKOLE"
"32","Provinsi Jawa Barat","3272","Kota Sukabumi","3272.040","GUNUNG PUYUH"
"32","Provinsi Jawa Barat","3272","Kota Sukabumi","3272.030","WARUDOYONG"
"32","Provinsi Jawa Barat","3272","Kota Sukabumi","3272.020","CITAMIANG"
"32","Provinsi Jawa Barat","3272","Kota Sukabumi","3272.012","CIBEUREUM"
"32","Provinsi Jawa Barat","3272","Kota Sukabumi","3272.011","LEMBURSITU"
"32","Provinsi Jawa Barat","3272","Kota Sukabumi","3272.010","BAROS"
"32","Provinsi Jawa Barat","3271","Kota Bogor","3271.060","TANAH SAREAL"
"32","Provinsi Jawa Barat","3271","Kota Bogor","3271.050","BOGOR BARAT"
"32","Provinsi Jawa Barat","3271","Kota Bogor","3271.040","BOGOR TENGAH"
"32","Provinsi Jawa Barat","3271","Kota Bogor","3271.030","BOGOR UTARA"
"32","Provinsi Jawa Barat","3271","Kota Bogor","3271.020","BOGOR TIMUR"
"32","Provinsi Jawa Barat","3271","Kota Bogor","3271.010","BOGOR SELATAN"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.260","CIDADAP"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.250","SUKASARI"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.240","SUKAJADI"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.230","COBLONG"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.220","CIBEUNYING KALER"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.210","CIBEUNYING KIDUL"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.200","BANDUNG WETAN"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.190","CICENDO"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.180","ANDIR"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.170","SUMUR BANDUNG"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.160","BATUNUNGGAL"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.150","KIARACONDONG"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.142","MANDALAJATI"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.141","ANTAPANI"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.130","ARCAMANIK"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.121","CINAMBO"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.120","UJUNG BERUNG"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.111","PANYILEUKAN"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.110","CIBIRU"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.101","GEDEBAGE"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.100","RANCASARI"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.090","BUAHBATU"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.080","BANDUNG KIDUL"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.070","LENGKONG"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.060","REGOL"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.050","ASTANAANYAR"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.040","BOJONGLOA KIDUL"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.030","BOJONGLOA KALER"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.020","BABAKAN CIPARAY"
"32","Provinsi Jawa Barat","3273","Kota Bandung","3273.010","BANDUNG KULON"
"32","Provinsi Jawa Barat","3218","Kab. Pangandaran","3218.100","MANGUNJAYA"
"32","Provinsi Jawa Barat","3218","Kab. Pangandaran","3218.090","PADAHERANG"
"32","Provinsi Jawa Barat","3218","Kab. Pangandaran","3218.080","KALIPUCANG"
"32","Provinsi Jawa Barat","3218","Kab. Pangandaran","3218.070","PANGANDARAN"
"32","Provinsi Jawa Barat","3218","Kab. Pangandaran","3218.060","SIDAMULIH"
"32","Provinsi Jawa Barat","3218","Kab. Pangandaran","3218.050","PARIGI"
"32","Provinsi Jawa Barat","3218","Kab. Pangandaran","3218.040","LANGKAPLANCAR"
"32","Provinsi Jawa Barat","3218","Kab. Pangandaran","3218.030","CIGUGUR"
"32","Provinsi Jawa Barat","3218","Kab. Pangandaran","3218.020","CIJULANG"
"32","Provinsi Jawa Barat","3218","Kab. Pangandaran","3218.010","CIMERAK"
"32","Provinsi Jawa Barat","3217","Kab. Bandung Barat","3217.150","CIPEUNDEUY"
"32","Provinsi Jawa Barat","3217","Kab. Bandung Barat","3217.140","CIKALONG WETAN"
"32","Provinsi Jawa Barat","3217","Kab. Bandung Barat","3217.130","CISARUA"
"32","Provinsi Jawa Barat","3217","Kab. Bandung Barat","3217.120","LEMBANG"
"32","Provinsi Jawa Barat","3217","Kab. Bandung Barat","3217.110","PARONGPONG"
"32","Provinsi Jawa Barat","3217","Kab. Bandung Barat","3217.100","NGAMPRAH"
"32","Provinsi Jawa Barat","3217","Kab. Bandung Barat","3217.090","PADALARANG"
"32","Provinsi Jawa Barat","3217","Kab. Bandung Barat","3217.080","CIPATAT"
"32","Provinsi Jawa Barat","3217","Kab. Bandung Barat","3217.071","SAGULING"
"32","Provinsi Jawa Barat","3217","Kab. Bandung Barat","3217.070","BATUJAJAR"
"32","Provinsi Jawa Barat","3217","Kab. Bandung Barat","3217.060","CIPONGKOR"
"32","Provinsi Jawa Barat","3217","Kab. Bandung Barat","3217.050","CIHAMPELAS"
"32","Provinsi Jawa Barat","3217","Kab. Bandung Barat","3217.040","CILILIN"
"32","Provinsi Jawa Barat","3217","Kab. Bandung Barat","3217.030","SINDANGKERTA"
"32","Provinsi Jawa Barat","3217","Kab. Bandung Barat","3217.020","GUNUNGHALU"
"32","Provinsi Jawa Barat","3217","Kab. Bandung Barat","3217.010","RONGGA"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.210","SUMBERJAYA"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.200","LIGUNG"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.190","JATITUJUH"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.180","KERTAJATI"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.170","KADIPATEN"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.160","PANYINGKIRAN"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.151","KASOKANDEL"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.150","DAWUAN"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.140","JATIWANGI"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.130","PALASAH"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.120","LEUWIMUNDING"
