kode_prov,nama_prov,kode_kabkota,nama_kabkota,nama_ibukota,pulau,kode_pemda
34,Provinsi DI Yogyakarta,3403,Kab. Gunungkidul,Wonosari,Jawa,0403
34,Provinsi DI Yogyakarta,3404,Kab. Sleman,Sleman,Jawa,0402
34,Provinsi DI Yogyakarta,3402,Kab. Bantul,Bantul,Jawa,0401
34,Provinsi DI Yogyakarta,3400,Provinsi DI Yogyakarta, ,Jawa, 
35,Provinsi Jawa Timur,3579,Kota Batu,Batu,Jawa,0559
35,Provinsi Jawa Timur,3577,Kota Madiun,Madiun,Jawa,0558
35,Provinsi Jawa Timur,3571,Kota Kediri,Kediri,Jawa,0557
35,Provinsi Jawa Timur,3572,Kota Blitar,Blitar,Jawa,0556
35,Provinsi Jawa Timur,3574,Kota Probolinggo,Probolinggo,Jawa,0555
35,Provinsi Jawa Timur,3575,Kota Pasuruan,Pasuruan,Jawa,0554
35,Provinsi Jawa Timur,3573,Kota Malang,Malang,Jawa,0553
35,Provinsi Jawa Timur,3576,Kota Mojokerto,Mojokerto,Jawa,0552
35,Provinsi Jawa Timur,3578,Kota Surabaya,Surabaya,Jawa,0551
35,Provinsi Jawa Timur,3524,Kab. Lamongan,Lamongan,Jawa,0529
35,Provinsi Jawa Timur,3523,Kab. Tuban,Tuban,Jawa,0528
35,Provinsi Jawa Timur,3522,Kab. Bojonegoro,Bojonegoro,Jawa,0527
35,Provinsi Jawa Timur,3501,Kab. Pacitan,Pacitan,Jawa,0526
35,Provinsi Jawa Timur,3502,Kab. Ponorogo,Ponorogo,Jawa,0525
35,Provinsi Jawa Timur,3520,Kab. Magetan,Magetan,Jawa,0524
35,Provinsi Jawa Timur,3521,Kab. Ngawi,Ngawi,Jawa,0523
35,Provinsi Jawa Timur,3519,Kab. Madiun,Mejayan,Jawa,0522
35,Provinsi Jawa Timur,3505,Kab. Blitar,Kanigoro,Jawa,0521
35,Provinsi Jawa Timur,3503,Kab. Trenggalek,Trenggalek,Jawa,0520
35,Provinsi Jawa Timur,3518,Kab. Nganjuk,Nganjuk,Jawa,0519
35,Provinsi Jawa Timur,3504,Kab. Tulungagung,Tulungagung,Jawa,0518
35,Provinsi Jawa Timur,3506,Kab. Kediri,Kediri,Jawa,0517
35,Provinsi Jawa Timur,3508,Kab. Lumajang,Lumajang,Jawa,0516
35,Provinsi Jawa Timur,3513,Kab. Probolinggo,Kraksaan,Jawa,0515
35,Provinsi Jawa Timur,3514,Kab. Pasuruan,Pasuruan,Jawa,0514
35,Provinsi Jawa Timur,3507,Kab. Malang,Kepanjen,Jawa,0513
35,Provinsi Jawa Timur,3509,Kab. Jember,Jember,Jawa,0512
35,Provinsi Jawa Timur,3510,Kab. Banyuwangi,Banyuwangi,Jawa,0511
35,Provinsi Jawa Timur,3512,Kab. Situbondo,Situbondo,Jawa,0510
35,Provinsi Jawa Timur,3511,Kab. Bondowoso,Bondowoso,Jawa,0509
35,Provinsi Jawa Timur,3526,Kab. Bangkalan,Bangkalan,Jawa,0508
35,Provinsi Jawa Timur,3529,Kab. Sumenep,Sumenep,Jawa,0507
35,Provinsi Jawa Timur,3528,Kab. Pamekasan,Pamekasan,Jawa,0506
35,Provinsi Jawa Timur,3527,Kab. Sampang,Sampang,Jawa,0505
35,Provinsi Jawa Timur,3517,Kab. Jombang,Jombang,Jawa,0504
35,Provinsi Jawa Timur,3515,Kab. Sidoarjo,Sidoarjo,Jawa,0503
35,Provinsi Jawa Timur,3516,Kab. Mojokerto,Mojokerto,Jawa,0502
35,Provinsi Jawa Timur,3525,Kab. Gresik,Gresik,Jawa,0501
35,Provinsi Jawa Timur,3500,Provinsi Jawa Timur, ,Jawa, 
11,Provinsi Aceh,1175,Kota Subulussalam,Subulussalam,Sumatera,0656
11,Provinsi Aceh,1174,Kota Lhokseumawe,Lhokseumawe,Sumatera,0654
11,Provinsi Aceh,1173,Kota Langsa,Langsa,Sumatera,0653
11,Provinsi Aceh,1172,Kota Sabang,Sabang,Sumatera,0652
11,Provinsi Aceh,1171,Kota Banda Aceh,Banda Aceh,Sumatera,0651
11,Provinsi Aceh,1118,Kab. Pidie Jaya,Meureudu,Sumatera,0618
11,Provinsi Aceh,1117,Kab. Bener Meriah,Simpang Tiga Rede,Sumatera,0617
11,Provinsi Aceh,1114,Kab. Aceh Tamiang, Karang Baru,Sumatera,0616
11,Provinsi Aceh,1115,Kab. Nagan Raya,Suka Makmue,Sumatera,0615
11,Provinsi Aceh,1116,Kab. Aceh Jaya,Calang,Sumatera,0614
11,Provinsi Aceh,1113,Kab. Gayo Lues,Blangkejeren,Sumatera,0613
11,Provinsi Aceh,1112,Kab. Aceh Barat Daya,Blangpidie,Sumatera,0612
11,Provinsi Aceh,1110,Kab. Bireuen,Bireun,Sumatera,0611
11,Provinsi Aceh,1102,Kab. Aceh Singkil,Singkil,Sumatera,0610
11,Provinsi Aceh,1101,Kab. Simeulue,Sinabang,Sumatera,0609
11,Provinsi Aceh,1104,Kab. Aceh Tenggara,Kutacane,Sumatera,0608
11,Provinsi Aceh,1106,Kab. Aceh Tengah,Takengon,Sumatera,0607
11,Provinsi Aceh,1107,Kab. Aceh Barat,Meulaboh,Sumatera,0606
11,Provinsi Aceh,1103,Kab. Aceh Selatan,Tapak Tuan,Sumatera,0605
11,Provinsi Aceh,1105,Kab. Aceh Timur,Idi Rayeuk,Sumatera,0604
11,Provinsi Aceh,1111,Kab. Aceh Utara,Lhoksukon,Sumatera,0603
11,Provinsi Aceh,1109,Kab. Pidie,Sigli,Sumatera,0602
11,Provinsi Aceh,1108,Kab. Aceh Besar,Jantho,Sumatera,0601
11,Provinsi Aceh,1100,Provinsi Aceh, ,Sumatera, 
12,Provinsi Sumatera Utara,1278,Kota Gunungsitoli,Gunungsitoli,Sumatera,0761
12,Provinsi Sumatera Utara,1277,Kota Padangsidimpuan,Padangsidimpuan,Sumatera,0757
12,Provinsi Sumatera Utara,1271,Kota Sibolga,Sibolga,Sumatera,0756
12,Provinsi Sumatera Utara,1272,Kota Tanjung Balai,Tanjungbalai,Sumatera,0755
12,Provinsi Sumatera Utara,1273,Kota Pematang Siantar,Pematang Siantar,Sumatera,0754
12,Provinsi Sumatera Utara,1276,Kota Binjai,Binjai,Sumatera,0753
12,Provinsi Sumatera Utara,1274,Kota Tebing Tinggi,Kota Tebing Tinggi,Sumatera,0752
12,Provinsi Sumatera Utara,1275,Kota Medan,Medan,Sumatera,0751
12,Provinsi Sumatera Utara,1225,Kab. Nias Barat,Lahomi,Sumatera,0727
12,Provinsi Sumatera Utara,1224,Kab. Nias Utara,Lotu,Sumatera,0726
12,Provinsi Sumatera Utara,1223,Kab. Labuhanbatu Utara,Aek Kanopan,Sumatera,0725
12,Provinsi Sumatera Utara,1222,Kab. Labuhanbatu Selatan,Kotapinang,Sumatera,0724
12,Provinsi Sumatera Utara,1220,Kab. Padang Lawas Utara,Gunung Tua,Sumatera,0723
12,Provinsi Sumatera Utara,1221,Kab. Padang Lawas,Sibuhuan,Sumatera,0722
12,Provinsi Sumatera Utara,1219,Kab. Batu Bara,Lima Puluh,Sumatera,0721
12,Provinsi Sumatera Utara,1218,Kab. Serdang Bedagai,Sei Rampah,Sumatera,0720
12,Provinsi Sumatera Utara,1206,Kab. Toba,Balige,Sumatera,0717
12,Provinsi Sumatera Utara,1215,Kab. Humbang Hasundutan,Dolok Sanggul,Sumatera,0716
12,Provinsi Sumatera Utara,1216,Kab. Pakpak Bharat,Salak,Sumatera,0715
12,Provinsi Sumatera Utara,1214,Kab. Nias Selatan,Teluk Dalam,Sumatera,0714
12,Provinsi Sumatera Utara,1202,Kab. Mandailing Natal,Panyabungan,Sumatera,0713
12,Provinsi Sumatera Utara,1217,Kab. Samosir,Pangururan,Sumatera,0712
12,Provinsi Sumatera Utara,1201,Kab. Nias,Gunung Sitoli,Sumatera,0711
12,Provinsi Sumatera Utara,1208,Kab. Asahan,Kisaran,Sumatera,0710
12,Provinsi Sumatera Utara,1203,Kab. Tapanuli Selatan,Sipirok,Sumatera,0709
12,Provinsi Sumatera Utara,1205,Kab. Tapanuli Utara,Tarutung,Sumatera,0708
12,Provinsi Sumatera Utara,1210,Kab. Dairi,Sidikalang,Sumatera,0707
12,Provinsi Sumatera Utara,1207,Kab. Labuhanbatu,Rantau Prapat,Sumatera,0706
12,Provinsi Sumatera Utara,1209,Kab. Simalungun,Pematang Raya,Sumatera,0705
12,Provinsi Sumatera Utara,1204,Kab. Tapanuli Tengah,Pandan,Sumatera,0704
12,Provinsi Sumatera Utara,1213,Kab. Langkat,Stabat,Sumatera,0703
12,Provinsi Sumatera Utara,1211,Kab. Karo,Kabanjahe,Sumatera,0702
12,Provinsi Sumatera Utara,1212,Kab. Deli Serdang,Lubuk Pakam,Sumatera,0701
12,Provinsi Sumatera Utara,1200,Provinsi Sumatera Utara, ,Sumatera, 
13,Provinsi Sumatera Barat,1377,Kota Pariaman,Pariaman,Sumatera,0857
13,Provinsi Sumatera Barat,1376,Kota Payakumbuh,Payakumbuh,Sumatera,0856
13,Provinsi Sumatera Barat,1371,Kota Padang,Padang,Sumatera,0855
13,Provinsi Sumatera Barat,1373,Kota Sawahlunto,Sawahlunto,Sumatera,0854
13,Provinsi Sumatera Barat,1372,Kota Solok,Solok,Sumatera,0853
13,Provinsi Sumatera Barat,1374,Kota Padang Panjang,Padang Panjang,Sumatera,0852
13,Provinsi Sumatera Barat,1375,Kota Bukit Tinggi,Bukittinggi,Sumatera,0851
13,Provinsi Sumatera Barat,1304,Kab. Sijunjung,Muaro Sijunjung,Sumatera,0813
13,Provinsi Sumatera Barat,1312,Kab. Pasaman Barat,Simpang Ampek,Sumatera,0812
13,Provinsi Sumatera Barat,1310,Kab. Solok Selatan,Padang Aro,Sumatera,0811
13,Provinsi Sumatera Barat,1311,Kab. Dharmasraya,Pulau Punjung,Sumatera,0810
13,Provinsi Sumatera Barat,1301,Kab. Kepulauan Mentawai,Tua Pejat,Sumatera,0809
13,Provinsi Sumatera Barat,1305,Kab. Tanah Datar,Batusangkar,Sumatera,0807
13,Provinsi Sumatera Barat,1302,Kab. Pesisir Selatan,Painan,Sumatera,0806
13,Provinsi Sumatera Barat,1306,Kab. Padang Pariaman,Parit Malintang,Sumatera,0805
13,Provinsi Sumatera Barat,1303,Kab. Solok,Arosuka,Sumatera,0804
13,Provinsi Sumatera Barat,1308,Kab. Lima Puluh Kota,Sarilamak,Sumatera,0803
13,Provinsi Sumatera Barat,1309,Kab. Pasaman,Lubuk Sikaping,Sumatera,0802
13,Provinsi Sumatera Barat,1307,Kab. Agam,Lubuk Basung,Sumatera,0801
13,Provinsi Sumatera Barat,1300,Provinsi Sumatera Barat, ,Sumatera, 
14,Provinsi Riau,1473,Kota Dumai,Dumai,Sumatera,0953
14,Provinsi Riau,1471,Kota Pekanbaru,Pekanbaru,Sumatera,0951
14,Provinsi Riau,1410,Kab. Kepulauan Meranti,Selat Panjang,Sumatera,0913
14,Provinsi Riau,1401,Kab. Kuantan Singingi,Teluk Kuantan,Sumatera,0912
14,Provinsi Riau,1405,Kab. Siak,Siak Sri Indrapura,Sumatera,0909
14,Provinsi Riau,1409,Kab. Rokan Hilir,Bagansiapiapi,Sumatera,0908
14,Provinsi Riau,1407,Kab. Rokan Hulu,Pasir Pangaraian,Sumatera,0907
14,Provinsi Riau,1404,Kab. Pelalawan,Pangkalan Kerinci,Sumatera,0906
14,Provinsi Riau,1403,Kab. Indragiri Hilir,Tembilahan,Sumatera,0905
14,Provinsi Riau,1402,Kab. Indragiri Hulu,Rengat,Sumatera,0904
14,Provinsi Riau,1408,Kab. Bengkalis,Bengkalis,Sumatera,0902
14,Provinsi Riau,1406,Kab. Kampar,Bangkinang,Sumatera,0901
14,Provinsi Riau,1400,Provinsi Riau, ,Sumatera, 
15,Provinsi Jambi,1572,Kota Sungai Penuh,Sungai Penuh,Sumatera,1052
15,Provinsi Jambi,1571,Kota Jambi,Jambi,Sumatera,1051
15,Provinsi Jambi,1505,Kab. Muaro Jambi,Sengeti,Sumatera,1009
15,Provinsi Jambi,1508,Kab. Tebo,Muara Tebo,Sumatera,1008
15,Provinsi Jambi,1506,Kab. Tanjung Jabung Timur,Muara Sabak,Sumatera,1007
