"kode_prov","nama_prov","kode_kabkota","nama_kabkota"
"94","Provinsi Papua","9429","Kab. Nduga"
"94","Provinsi Papua","9427","Kab. Supiori"
"94","Provinsi Papua","9418","Kab. Tolikara"
"94","Provinsi Papua","9414","Kab. Mappi"
"94","Provinsi Papua","9402","Kab. Jayawijaya"
"17","Provinsi Bengkulu","1702","Kab. Rejang Lebong"
"17","Provinsi Bengkulu","1771","Kota Bengkulu"
"17","Provinsi Bengkulu","1704","Kab. Kaur"
"17","Provinsi Bengkulu","1707","Kab. Lebong"
"17","Provinsi Bengkulu","1701","Kab. Bengkulu Selatan"
"17","Provinsi Bengkulu","1709","Kab. Bengkulu Tengah"
"17","Provinsi Bengkulu","1705","Kab. Seluma"
"17","Provinsi Bengkulu","1706","Kab. Mukomuko"
"17","Provinsi Bengkulu","1703","Kab. Bengkulu Utara"
"17","Provinsi Bengkulu","1708","Kab. Kepahiang"
"82","Provinsi Maluku Utara","8272","Kota Tidore Kepulauan"
"82","Provinsi Maluku Utara","8206","Kab. Halmahera Timur"
"82","Provinsi Maluku Utara","8207","Kab. Pulau Morotai"
"82","Provinsi Maluku Utara","8205","Kab. Halmahera Utara"
"82","Provinsi Maluku Utara","8271","Kota Ternate"
"82","Provinsi Maluku Utara","8203","Kab. Kepulauan Sula"
"82","Provinsi Maluku Utara","8201","Kab. Halmahera Barat"
"82","Provinsi Maluku Utara","8202","Kab. Halmahera Tengah"
"82","Provinsi Maluku Utara","8208","Kab. Pulau Taliabu"
"82","Provinsi Maluku Utara","8204","Kab. Halmahera Selatan"
"36","Provinsi Banten","3674","Kota Tangerang Selatan"
"36","Provinsi Banten","3671","Kota Tangerang"
"36","Provinsi Banten","3601","Kab. Pandeglang"
"36","Provinsi Banten","3673","Kota Serang"
"36","Provinsi Banten","3603","Kab. Tangerang"
"36","Provinsi Banten","3672","Kota Cilegon"
"36","Provinsi Banten","3604","Kab. Serang"
"36","Provinsi Banten","3602","Kab. Lebak"
"19","Provinsi Kepulauan Bangka Belitung","1905","Kab. Bangka Selatan"
"19","Provinsi Kepulauan Bangka Belitung","1971","Kota Pangkal Pinang"
"19","Provinsi Kepulauan Bangka Belitung","1901","Kab. Bangka"
"19","Provinsi Kepulauan Bangka Belitung","1904","Kab. Bangka Tengah"
"19","Provinsi Kepulauan Bangka Belitung","1906","Kab. Belitung Timur"
"19","Provinsi Kepulauan Bangka Belitung","1902","Kab. Belitung"
"19","Provinsi Kepulauan Bangka Belitung","1903","Kab. Bangka Barat"
"75","Provinsi Gorontalo","7505","Kab. Gorontalo Utara"
"75","Provinsi Gorontalo","7501","Kab. Boalemo"
"75","Provinsi Gorontalo","7504","Kab. Bone Bolango"
"75","Provinsi Gorontalo","7571","Kota Gorontalo"
"75","Provinsi Gorontalo","7502","Kab. Gorontalo"
"75","Provinsi Gorontalo","7503","Kab. Pohuwato"
"21","Provinsi Kepulauan Riau","2104","Kab. Lingga"
"21","Provinsi Kepulauan Riau","2171","Kota Batam"
"21","Provinsi Kepulauan Riau","2102","Kab. Bintan"
"21","Provinsi Kepulauan Riau","2103","Kab. Natuna"
"21","Provinsi Kepulauan Riau","2105","Kab. Kepulauan Anambas"
"21","Provinsi Kepulauan Riau","2172","Kota Tanjung Pinang"
"21","Provinsi Kepulauan Riau","2101","Kab. Karimun"
"91","Provinsi Papua Barat","9111","Kab. Manokwari Selatan"
"91","Provinsi Papua Barat","9103","Kab. Teluk Wondama"
"91","Provinsi Papua Barat","9107","Kab. Sorong"
"91","Provinsi Papua Barat","9109","Kab. Tambrauw"
"91","Provinsi Papua Barat","9106","Kab. Sorong Selatan"
"91","Provinsi Papua Barat","9112","Kab. Pegunungan Arfak"
"91","Provinsi Papua Barat","9104","Kab. Teluk Bintuni"
"91","Provinsi Papua Barat","9105","Kab. Manokwari"
"91","Provinsi Papua Barat","9171","Kota Sorong"
"91","Provinsi Papua Barat","9102","Kab. Kaimana"
"91","Provinsi Papua Barat","9101","Kab. Fak Fak"
"91","Provinsi Papua Barat","9110","Kab. Maybrat"
"91","Provinsi Papua Barat","9108","Kab. Raja Ampat"
"76","Provinsi Sulawesi Barat","7602","Kab. Polewali Mandar"
"76","Provinsi Sulawesi Barat","7606","Kab. Mamuju Tengah"
"76","Provinsi Sulawesi Barat","7601","Kab. Majene"
"76","Provinsi Sulawesi Barat","7605","Kab. Pasangkayu"
"76","Provinsi Sulawesi Barat","7603","Kab. Mamasa"
"76","Provinsi Sulawesi Barat","7604","Kab. Mamuju"
"65","Provinsi Kalimantan Utara","6571","Kota Tarakan"
"65","Provinsi Kalimantan Utara","6504","Kab. Nunukan"
"65","Provinsi Kalimantan Utara","6503","Kab. Tana Tidung"
"65","Provinsi Kalimantan Utara","6502","Kab. Bulungan"
"65","Provinsi Kalimantan Utara","6501","Kab. Malinau"
