"kode_prov","nama_prov","kode_kabkota","nama_kabkota"
"35","Provinsi Jawa Timur","3512","Kab. Situbondo"
"35","Provinsi Jawa Timur","3527","Kab. Sampang"
"35","Provinsi Jawa Timur","3522","Kab. Bojonegoro"
"35","Provinsi Jawa Timur","3519","Kab. Madiun"
"35","Provinsi Jawa Timur","3506","Kab. Kediri"
"35","Provinsi Jawa Timur","3571","Kota Kediri"
"35","Provinsi Jawa Timur","3509","Kab. Jember"
"35","Provinsi Jawa Timur","3529","Kab. Sumenep"
"11","Provinsi Aceh","1172","Kota Sabang"
"11","Provinsi Aceh","1115","Kab. Nagan Raya"
"11","Provinsi Aceh","1102","Kab. Aceh Singkil"
"11","Provinsi Aceh","1103","Kab. Aceh Selatan"
"11","Provinsi Aceh","1174","Kota Lhokseumawe"
"11","Provinsi Aceh","1117","Kab. Bener Meriah"
"11","Provinsi Aceh","1112","Kab. Aceh Barat Daya"
"11","Provinsi Aceh","1106","Kab. Aceh Tengah"
"11","Provinsi Aceh","1109","Kab. Pidie"
"11","Provinsi Aceh","1171","Kota Banda Aceh"
"11","Provinsi Aceh","1116","Kab. Aceh Jaya"
"11","Provinsi Aceh","1101","Kab. Simeulue"
"11","Provinsi Aceh","1105","Kab. Aceh Timur"
"11","Provinsi Aceh","1173","Kota Langsa"
"11","Provinsi Aceh","1114","Kab. Aceh Tamiang"
"11","Provinsi Aceh","1110","Kab. Bireuen"
"11","Provinsi Aceh","1107","Kab. Aceh Barat"
"11","Provinsi Aceh","1108","Kab. Aceh Besar"
"11","Provinsi Aceh","1175","Kota Subulussalam"
"11","Provinsi Aceh","1118","Kab. Pidie Jaya"
"11","Provinsi Aceh","1113","Kab. Gayo Lues"
"11","Provinsi Aceh","1104","Kab. Aceh Tenggara"
"11","Provinsi Aceh","1111","Kab. Aceh Utara"
"12","Provinsi Sumatera Utara","1274","Kota Tebing Tinggi"
"12","Provinsi Sumatera Utara","1219","Kab. Batu Bara"
"12","Provinsi Sumatera Utara","1214","Kab. Nias Selatan"
"12","Provinsi Sumatera Utara","1203","Kab. Tapanuli Selatan"
"12","Provinsi Sumatera Utara","1204","Kab. Tapanuli Tengah"
"12","Provinsi Sumatera Utara","1273","Kota Pematang Siantar"
"12","Provinsi Sumatera Utara","1224","Kab. Nias Utara"
"12","Provinsi Sumatera Utara","1220","Kab. Padang Lawas Utara"
"12","Provinsi Sumatera Utara","1215","Kab. Humbang Hasundutan"
"12","Provinsi Sumatera Utara","1201","Kab. Nias"
"12","Provinsi Sumatera Utara","1207","Kab. Labuhanbatu"
"12","Provinsi Sumatera Utara","1212","Kab. Deli Serdang"
"12","Provinsi Sumatera Utara","1271","Kota Sibolga"
"12","Provinsi Sumatera Utara","1275","Kota Medan"
"12","Provinsi Sumatera Utara","1218","Kab. Serdang Bedagai"
"12","Provinsi Sumatera Utara","1202","Kab. Mandailing Natal"
"12","Provinsi Sumatera Utara","1205","Kab. Tapanuli Utara"
"12","Provinsi Sumatera Utara","1213","Kab. Langkat"
"12","Provinsi Sumatera Utara","1278","Kota Gunungsitoli"
"12","Provinsi Sumatera Utara","1276","Kota Binjai"
"12","Provinsi Sumatera Utara","1223","Kab. Labuhanbatu Utara"
"12","Provinsi Sumatera Utara","1221","Kab. Padang Lawas"
"12","Provinsi Sumatera Utara","1216","Kab. Pakpak Bharat"
"12","Provinsi Sumatera Utara","1208","Kab. Asahan"
"12","Provinsi Sumatera Utara","1209","Kab. Simalungun"
"12","Provinsi Sumatera Utara","1272","Kota Tanjung Balai"
"12","Provinsi Sumatera Utara","1225","Kab. Nias Barat"
"12","Provinsi Sumatera Utara","1222","Kab. Labuhanbatu Selatan"
"12","Provinsi Sumatera Utara","1206","Kab. Toba"
"12","Provinsi Sumatera Utara","1217","Kab. Samosir"
"12","Provinsi Sumatera Utara","1210","Kab. Dairi"
"12","Provinsi Sumatera Utara","1211","Kab. Karo"
"12","Provinsi Sumatera Utara","1277","Kota Padangsidimpuan"
"13","Provinsi Sumatera Barat","1373","Kota Sawahlunto"
"13","Provinsi Sumatera Barat","1312","Kab. Pasaman Barat"
"13","Provinsi Sumatera Barat","1302","Kab. Pesisir Selatan"
"13","Provinsi Sumatera Barat","1307","Kab. Agam"
"13","Provinsi Sumatera Barat","1376","Kota Payakumbuh"
"13","Provinsi Sumatera Barat","1375","Kota Bukit Tinggi"
"13","Provinsi Sumatera Barat","1301","Kab. Kepulauan Mentawai"
"13","Provinsi Sumatera Barat","1308","Kab. Lima Puluh Kota"
"13","Provinsi Sumatera Barat","1372","Kota Solok"
"13","Provinsi Sumatera Barat","1310","Kab. Solok Selatan"
"13","Provinsi Sumatera Barat","1306","Kab. Padang Pariaman"
"13","Provinsi Sumatera Barat","1371","Kota Padang"
"13","Provinsi Sumatera Barat","1304","Kab. Sijunjung"
"13","Provinsi Sumatera Barat","1305","Kab. Tanah Datar"
"13","Provinsi Sumatera Barat","1309","Kab. Pasaman"
"13","Provinsi Sumatera Barat","1377","Kota Pariaman"
"13","Provinsi Sumatera Barat","1374","Kota Padang Panjang"
"13","Provinsi Sumatera Barat","1311","Kab. Dharmasraya"
"13","Provinsi Sumatera Barat","1303","Kab. Solok"
